,PropertyStreetNbrNameText,PropertyCityName,State,PropertyZipCode,TotalAssessedAmt,Lat,Lng,Arlington Cemetery,Ballston MU,Clarendon,Court House,Crystal City,East Falls Church,Pentagon,Pentagon City,Ronald Reagan Washington National Airport,Rosslyn,Virginia Square GMU,MinDistance
2483,1322 FORT MYER DR 904,ARLINGTON,VA,22209,314700,38.890104,-77.07515599999998,0.749554115832194,2.0327748080062555,1.099395284894456,0.5322857857493353,2.5947586035520493,4.3777809873372195,1.6779378718619906,2.0365701294232013,3.273218122785962,0.496706473744518,1.6067730262396371,0.496706473744518
2484,4371 LEE HWY 201,ARLINGTON,VA,22207,237400,38.89808319999999,-77.1156293,2.971611273050164,1.1359007255356375,1.3341238617301308,1.714149550102709,4.441987547094636,2.3564016516288095,3.7165630573569066,3.8437676740670113,5.124736273036573,2.34881066984619,1.240130607015037,1.1359007255356375
2485,4020 7th ST S,ARLINGTON,VA,22204,556200,38.8628939,-77.10071429999998,2.513908664384781,1.4391954416449477,1.697960806001802,2.1556747732212487,2.656163632954269,3.3741641058872283,2.4719745574173744,2.184553945796671,3.213490854894146,2.809739000497621,1.3841324464086988,1.3841324464086988
2486,4661 DITTMAR RD,ARLINGTON,VA,22207,1478100,38.91521940000001,-77.1317305,4.251591109199766,2.5427658647326927,2.7619083422622084,3.003386061199155,5.87410501959035,2.4447372160709406,5.09472813359494,5.275030008636572,6.561697490268642,3.454218531038924,2.704789003404969,2.4447372160709406
2487,2033 N KENTUCKY ST,ARLINGTON,VA,22205,921100,38.8910104,-77.1404146,4.177906036503946,1.6771338506210398,2.445046875891659,2.986941926099462,5.303859140691738,0.9381372223183578,4.749427400375264,4.731686354591089,5.946812653812785,3.702326750086722,2.0634506876556413,0.9381372223183578
2488,4421 DITTMAR RD,ARLINGTON,VA,22207,899800,38.91865019999999,-77.12651679999998,4.140946981414393,2.6606571780964368,2.7538330174076457,2.918490945296289,5.842197408801432,2.7978373344147163,5.025404409978206,5.244886274075063,6.532550040731184,3.2964182061551757,2.768004887817843,2.6606571780964368
2489,506 N EDISON ST,ARLINGTON,VA,22203,671600,38.8740796,-77.1194936,3.1147241377544774,0.6947527673592216,1.584895989581316,2.219043337833777,3.819274251831308,2.1322303684056303,3.4249600827231297,3.2841334329419247,4.424979726193341,3.001113120691217,1.0495397491698886,0.6947527673592216
2490,26 S MANCHESTER ST,ARLINGTON,VA,22204,556000,38.86496200000001,-77.135897,4.139677964104928,1.7622315628397016,2.669017159829215,3.3025328750581684,4.551411662035268,1.793372691366855,4.320823060158651,4.079401011727976,5.0847475109151015,4.083494620533208,2.1337316654935057,1.7622315628397016
2491,4606 19th RD N,ARLINGTON,VA,22207,1021300,38.8940555,-77.1186958,3.057147760509392,0.9212453684706824,1.3505093053623798,1.826868424814527,4.404061701521479,2.109569298215598,3.732845228768583,3.810226464482261,5.078133969111355,2.5196717934384645,1.1268905027715084,0.9212453684706824
2492,2207 N LEXINGTON ST,ARLINGTON,VA,22205,899900,38.8920571,-77.14212479999998,4.277487153997394,1.7897276724405742,2.5451874343613863,3.078850605010415,5.4183222662078085,0.8897470402484802,4.858653884448158,4.8452379588736,6.062237201140421,3.7867176132363785,2.172191358909747,0.8897470402484802
2493,3800 FAIRFAX DR 0710,ARLINGTON,VA,22203,506600,38.8821571,-77.1050976,2.260991454896638,0.3433807913890843,0.6309328543121717,1.2665629280554747,3.341393915395714,2.7653888308037593,2.7543921887144664,2.7564938930244973,4.004543316441364,2.050280271673599,0.09585731878421024,0.09585731878421024
2494,5738 15th ST N,ARLINGTON,VA,22205,857200,38.88374779999999,-77.1367643,3.9583856090215197,1.3656297266568562,2.245776709747555,2.8421868754059085,4.920306206595732,1.05943413789576,4.435720187846306,4.364206652723414,5.544577310326056,3.5998818657880767,1.7890330556744327,1.05943413789576
2495,142 N ABINGDON ST,ARLINGTON,VA,22203,749200,38.869584,-77.11448159999998,2.9475212215397906,0.8705015309939114,1.5925286402175245,2.1999384412264678,3.474369139781353,2.504623764444246,3.150146736401803,2.959632095969834,4.061591899441486,2.962429639173304,1.0872727291605877,0.8705015309939114
2496,313 N EMERSON ST,ARLINGTON,VA,22203,704300,38.87154580000001,-77.11811139999998,3.0888850899807885,0.803421266775522,1.633692211378971,2.2597261778077615,3.6978948568336913,2.2699956230061527,3.3441499814729494,3.17494859034424,4.291643059378955,3.035472619522841,1.105051006362688,0.803421266775522
2497,204 S ABINGDON ST,ARLINGTON,VA,22204,647800,38.86595700000001,-77.11311059999998,2.977952941113605,1.109454583939439,1.7487453456276112,2.3311070323382883,3.348832362221082,2.6877001068675073,3.0944486408733316,2.8584143557455515,3.9130600596413454,3.074361447109075,1.2733361655950832,1.109454583939439
2498,5111 8th RD S 306,ARLINGTON,VA,22204,148900,38.8576973,-77.11656059999999,3.419596787908048,1.6988140577169184,2.3328812997948205,2.894260758538525,3.479793593629757,2.8740165349664264,3.387258163675493,3.0596418566660732,3.972490216657387,3.6152617588884084,1.8713104098608424,1.6988140577169184
2499,5010 COLUMBIA PIKE 2,ARLINGTON,VA,22204,137400,38.8548477,-77.1141059,3.4238390876061597,1.8788773818188458,2.4485473181431403,2.983977963446763,3.351592663443809,3.104352953629412,3.3211325782658307,2.959988856584802,3.81836646671943,3.6822034325507564,2.013942183370367,1.8788773818188458
2500,1228 N VERNON ST,ARLINGTON,VA,22201,791600,38.886317,-77.1163693,2.8635823271315206,0.3996177004164497,1.1381938927164352,1.7318741311387251,4.009571447291634,2.150423275900207,3.4185330846519553,3.4265544606235037,4.668831683747029,2.495810345501419,0.7322405865224383,0.3996177004164497
2501,4415 19th RD N,ARLINGTON,VA,22207,735600,38.8944564,-77.1150997,2.875004651358262,0.8848622663939533,1.1834545103924738,1.6376077857887632,4.264349714041459,2.3031091206491636,3.57143514188687,3.668181751278158,4.942626716480814,2.3247653177725747,1.0175859657120256,0.8848622663939533
